Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Submit App,Chrome 71.0.3578.98,,2019-01-28 12:18:27,2019-01-28 12:19:46,1m - 18.731s,PASSED
,,,,,,
Test Cases/Submit Application,Chrome 71.0.3578.98,,2019-01-28 12:18:27,2019-01-28 12:19:45,1m - 17.347s,PASSED
"openBrowser(""https://iddtrain.georgiacollaborative.com/IDDPortal/"")",Chrome 71.0.3578.98,,2019-01-28 12:18:29,2019-01-28 12:19:07,38.040s,PASSED
"navigateToUrl(""https://iddtrain.georgiacollaborative.com/IDDPortal/"")",Chrome 71.0.3578.98,,2019-01-28 12:19:07,2019-01-28 12:19:07,0.018s,NOT_RUN
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-28 12:19:07,2019-01-28 12:19:08,1.357s,PASSED
"setText(findTestObject(""Submit Application/Page_Online Application for Intelle/1_Page_HomePage to Login/input__username""), ""Test123"")",Chrome 71.0.3578.98,,2019-01-28 12:19:08,2019-01-28 12:19:09,0.612s,PASSED
"setText(findTestObject(""Submit Application/Page_Online Application for Intelle/1_Page_HomePage to Login/input__password""), ""Password123"")",Chrome 71.0.3578.98,,2019-01-28 12:19:09,2019-01-28 12:19:09,0.669s,PASSED
Thread.sleep(3000),Chrome 71.0.3578.98,,2019-01-28 12:19:09,2019-01-28 12:19:09,0.006s,NOT_RUN
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/1_Page_HomePage to Login/button_Login""))",Chrome 71.0.3578.98,,2019-01-28 12:19:09,2019-01-28 12:19:10,0.206s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-28 12:19:10,2019-01-28 12:19:10,0.005s,NOT_RUN
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/2_Page_Welcome/b_Submit a New Application""))",Chrome 71.0.3578.98,,2019-01-28 12:19:10,2019-01-28 12:19:11,1.026s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-28 12:19:11,2019-01-28 12:19:11,0.005s,NOT_RUN
