Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Submit App,Firefox 64.0,,2019-01-28 12:19:49,2019-01-28 12:21:28,1m - 38.991s,PASSED
,,,,,,
Test Cases/Submit Application,Firefox 64.0,,2019-01-28 12:19:49,2019-01-28 12:21:26,1m - 36.786s,PASSED
"openBrowser(""https://iddtrain.georgiacollaborative.com/IDDPortal/"")",Firefox 64.0,,2019-01-28 12:19:50,2019-01-28 12:20:37,46.913s,PASSED
"navigateToUrl(""https://iddtrain.georgiacollaborative.com/IDDPortal/"")",Firefox 64.0,,2019-01-28 12:20:37,2019-01-28 12:20:37,0.018s,NOT_RUN
maximizeWindow(),Firefox 64.0,,2019-01-28 12:20:37,2019-01-28 12:20:41,3.578s,PASSED
"setText(findTestObject(""Submit Application/Page_Online Application for Intelle/1_Page_HomePage to Login/input__username""), ""Test123"")",Firefox 64.0,,2019-01-28 12:20:41,2019-01-28 12:20:41,0.369s,PASSED
"setText(findTestObject(""Submit Application/Page_Online Application for Intelle/1_Page_HomePage to Login/input__password""), ""Password123"")",Firefox 64.0,,2019-01-28 12:20:41,2019-01-28 12:20:42,0.374s,PASSED
Thread.sleep(3000),Firefox 64.0,,2019-01-28 12:20:42,2019-01-28 12:20:42,0.006s,NOT_RUN
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/1_Page_HomePage to Login/button_Login""))",Firefox 64.0,,2019-01-28 12:20:42,2019-01-28 12:20:42,0.787s,PASSED
Thread.sleep(2000),Firefox 64.0,,2019-01-28 12:20:42,2019-01-28 12:20:42,0.006s,NOT_RUN
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/2_Page_Welcome/b_Submit a New Application""))",Firefox 64.0,,2019-01-28 12:20:42,2019-01-28 12:20:44,1.591s,PASSED
Thread.sleep(2000),Firefox 64.0,,2019-01-28 12:20:44,2019-01-28 12:20:44,0.006s,NOT_RUN
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/3_Page_TermsAndConditions/div_httpsgadbhdd.policystat.co""))",Firefox 64.0,,2019-01-28 12:20:44,2019-01-28 12:20:44,0.318s,PASSED
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/3_Page_TermsAndConditions/button_Proceed with online app""))",Firefox 64.0,,2019-01-28 12:20:44,2019-01-28 12:20:47,2.292s,PASSED
Thread.sleep(2000),Firefox 64.0,,2019-01-28 12:20:47,2019-01-28 12:20:47,0.013s,NOT_RUN
"setText(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/input__fName""), ""FirstName"")",Firefox 64.0,Start of General Page,2019-01-28 12:20:47,2019-01-28 12:20:47,0.671s,PASSED
"setText(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/input__lName""), ""LastName"")",Firefox 64.0,,2019-01-28 12:20:47,2019-01-28 12:20:48,0.537s,PASSED
"setText(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/input__dob""), ""01/01/1990"")",Firefox 64.0,,2019-01-28 12:20:48,2019-01-28 12:20:49,1.046s,PASSED
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/label_Select_Gender""))",Firefox 64.0,,2019-01-28 12:20:49,2019-01-28 12:20:49,0.429s,PASSED
Thread.sleep(2000),Firefox 64.0,,2019-01-28 12:20:49,2019-01-28 12:20:49,0.004s,NOT_RUN
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/li_Male""))",Firefox 64.0,,2019-01-28 12:20:49,2019-01-28 12:20:50,0.348s,PASSED
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/label_Select_MaritalStatus""))",Firefox 64.0,,2019-01-28 12:20:50,2019-01-28 12:20:50,0.356s,PASSED
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/li_Married""))",Firefox 64.0,,2019-01-28 12:20:50,2019-01-28 12:20:50,0.368s,PASSED
Thread.sleep(2000),Firefox 64.0,,2019-01-28 12:20:50,2019-01-28 12:20:50,0.003s,NOT_RUN
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/label_Select_Race""))",Firefox 64.0,,2019-01-28 12:20:50,2019-01-28 12:20:51,0.464s,PASSED
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/li_WhiteCaucasian""))",Firefox 64.0,,2019-01-28 12:20:51,2019-01-28 12:20:51,0.374s,PASSED
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/label_Select_Hispanic""))",Firefox 64.0,,2019-01-28 12:20:51,2019-01-28 12:20:52,0.357s,PASSED
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/li_No""))",Firefox 64.0,,2019-01-28 12:20:52,2019-01-28 12:20:52,0.339s,PASSED
"setText(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/input__SSN""), ""800-10-0101"")",Firefox 64.0,,2019-01-28 12:20:52,2019-01-28 12:20:52,0.385s,PASSED
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/label_Select_CurrentLivingArrangements""))",Firefox 64.0,,2019-01-28 12:20:52,2019-01-28 12:20:53,0.423s,PASSED
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/li_Community living arrangemen""))",Firefox 64.0,,2019-01-28 12:20:53,2019-01-28 12:20:53,0.307s,PASSED
"setText(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/input__pphoneNumber""), ""(111) 111-1111"")",Firefox 64.0,,2019-01-28 12:20:53,2019-01-28 12:20:53,0.271s,PASSED
"setText(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/input__generalStreetPrimary_pr""), ""3 Ravinia Dr, At"")",Firefox 64.0,Enter Street Address,2019-01-28 12:20:53,2019-01-28 12:20:54,0.697s,PASSED
Thread.sleep(1000),Firefox 64.0,,2019-01-28 12:20:54,2019-01-28 12:20:55,1.026s,PASSED
