Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Submit App,Chrome 71.0.3578.98,,2019-01-28 11:12:17,2019-01-28 11:15:29,3m - 11.676s,PASSED
,,,,,,
Test Cases/Submit Application,Chrome 71.0.3578.98,,2019-01-28 11:12:19,2019-01-28 11:15:25,3m - 6.253s,PASSED
"openBrowser(""https://iddtrain.georgiacollaborative.com/IDDPortal/"")",Chrome 71.0.3578.98,,2019-01-28 11:12:25,2019-01-28 11:13:33,1m - 8.128s,PASSED
"navigateToUrl(""https://iddtrain.georgiacollaborative.com/IDDPortal/"")",Chrome 71.0.3578.98,,2019-01-28 11:13:33,2019-01-28 11:13:33,0.014s,NOT_RUN
maximizeWindow(),Chrome 71.0.3578.98,,2019-01-28 11:13:33,2019-01-28 11:13:35,1.803s,PASSED
"setText(findTestObject(""Submit Application/Page_Online Application for Intelle/1_Page_HomePage to Login/input__username""), ""Test123"")",Chrome 71.0.3578.98,,2019-01-28 11:13:35,2019-01-28 11:13:36,1.555s,PASSED
"setText(findTestObject(""Submit Application/Page_Online Application for Intelle/1_Page_HomePage to Login/input__password""), ""Password123"")",Chrome 71.0.3578.98,,2019-01-28 11:13:36,2019-01-28 11:13:42,5.764s,PASSED
Thread.sleep(3000),Chrome 71.0.3578.98,,2019-01-28 11:13:42,2019-01-28 11:13:43,0.270s,NOT_RUN
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/1_Page_HomePage to Login/button_Login""))",Chrome 71.0.3578.98,,2019-01-28 11:13:43,2019-01-28 11:13:44,1.696s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-28 11:13:44,2019-01-28 11:13:44,0.007s,NOT_RUN
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/2_Page_Welcome/b_Submit a New Application""))",Chrome 71.0.3578.98,,2019-01-28 11:13:44,2019-01-28 11:13:47,2.545s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-28 11:13:47,2019-01-28 11:13:47,0.008s,NOT_RUN
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/3_Page_TermsAndConditions/div_httpsgadbhdd.policystat.co""))",Chrome 71.0.3578.98,,2019-01-28 11:13:47,2019-01-28 11:13:48,1.004s,PASSED
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/3_Page_TermsAndConditions/button_Proceed with online app""))",Chrome 71.0.3578.98,,2019-01-28 11:13:48,2019-01-28 11:13:56,7.790s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-28 11:13:56,2019-01-28 11:13:56,0.010s,NOT_RUN
"setText(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/input__fName""), ""FirstName"")",Chrome 71.0.3578.98,Start of General Page,2019-01-28 11:13:56,2019-01-28 11:13:59,3.915s,PASSED
"setText(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/input__lName""), ""LastName"")",Chrome 71.0.3578.98,,2019-01-28 11:13:59,2019-01-28 11:14:06,6.107s,PASSED
"setText(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/input__dob""), ""01/01/1990"")",Chrome 71.0.3578.98,,2019-01-28 11:14:06,2019-01-28 11:14:12,6.067s,PASSED
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/label_Select_Gender""))",Chrome 71.0.3578.98,,2019-01-28 11:14:12,2019-01-28 11:14:12,0.772s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-28 11:14:12,2019-01-28 11:14:12,0.007s,NOT_RUN
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/li_Male""))",Chrome 71.0.3578.98,,2019-01-28 11:14:12,2019-01-28 11:14:13,0.543s,PASSED
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/label_Select_MaritalStatus""))",Chrome 71.0.3578.98,,2019-01-28 11:14:13,2019-01-28 11:14:13,0.470s,PASSED
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/li_Married""))",Chrome 71.0.3578.98,,2019-01-28 11:14:13,2019-01-28 11:14:14,0.848s,PASSED
Thread.sleep(2000),Chrome 71.0.3578.98,,2019-01-28 11:14:14,2019-01-28 11:14:14,0.008s,NOT_RUN
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/label_Select_Race""))",Chrome 71.0.3578.98,,2019-01-28 11:14:14,2019-01-28 11:14:15,0.894s,PASSED
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/li_WhiteCaucasian""))",Chrome 71.0.3578.98,,2019-01-28 11:14:15,2019-01-28 11:14:16,0.378s,PASSED
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/label_Select_Hispanic""))",Chrome 71.0.3578.98,,2019-01-28 11:14:16,2019-01-28 11:14:16,0.595s,PASSED
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/li_No""))",Chrome 71.0.3578.98,,2019-01-28 11:14:16,2019-01-28 11:14:17,0.595s,PASSED
