Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Submit App,Firefox 64.0,,2019-01-28 11:39:41,2019-01-28 11:41:25,1m - 44.407s,PASSED
,,,,,,
Test Cases/Submit Application,Firefox 64.0,,2019-01-28 11:39:41,2019-01-28 11:41:22,1m - 40.522s,PASSED
"openBrowser(""https://iddtrain.georgiacollaborative.com/IDDPortal/"")",Firefox 64.0,,2019-01-28 11:39:42,2019-01-28 11:40:28,45.840s,PASSED
"navigateToUrl(""https://iddtrain.georgiacollaborative.com/IDDPortal/"")",Firefox 64.0,,2019-01-28 11:40:28,2019-01-28 11:40:28,0.023s,NOT_RUN
maximizeWindow(),Firefox 64.0,,2019-01-28 11:40:28,2019-01-28 11:40:32,3.646s,PASSED
"setText(findTestObject(""Submit Application/Page_Online Application for Intelle/1_Page_HomePage to Login/input__username""), ""Test123"")",Firefox 64.0,,2019-01-28 11:40:32,2019-01-28 11:40:32,0.416s,PASSED
"setText(findTestObject(""Submit Application/Page_Online Application for Intelle/1_Page_HomePage to Login/input__password""), ""Password123"")",Firefox 64.0,,2019-01-28 11:40:32,2019-01-28 11:40:33,0.413s,PASSED
Thread.sleep(3000),Firefox 64.0,,2019-01-28 11:40:33,2019-01-28 11:40:33,0.004s,NOT_RUN
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/1_Page_HomePage to Login/button_Login""))",Firefox 64.0,,2019-01-28 11:40:33,2019-01-28 11:40:34,1.261s,PASSED
Thread.sleep(2000),Firefox 64.0,,2019-01-28 11:40:34,2019-01-28 11:40:34,0.006s,NOT_RUN
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/2_Page_Welcome/b_Submit a New Application""))",Firefox 64.0,,2019-01-28 11:40:34,2019-01-28 11:40:36,1.756s,PASSED
Thread.sleep(2000),Firefox 64.0,,2019-01-28 11:40:36,2019-01-28 11:40:36,0.005s,NOT_RUN
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/3_Page_TermsAndConditions/div_httpsgadbhdd.policystat.co""))",Firefox 64.0,,2019-01-28 11:40:36,2019-01-28 11:40:36,0.386s,PASSED
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/3_Page_TermsAndConditions/button_Proceed with online app""))",Firefox 64.0,,2019-01-28 11:40:36,2019-01-28 11:40:39,2.784s,PASSED
Thread.sleep(2000),Firefox 64.0,,2019-01-28 11:40:39,2019-01-28 11:40:39,0.017s,NOT_RUN
"setText(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/input__fName""), ""FirstName"")",Firefox 64.0,Start of General Page,2019-01-28 11:40:39,2019-01-28 11:40:39,0.466s,PASSED
"setText(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/input__lName""), ""LastName"")",Firefox 64.0,,2019-01-28 11:40:39,2019-01-28 11:40:40,0.352s,PASSED
"setText(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/input__dob""), ""01/01/1990"")",Firefox 64.0,,2019-01-28 11:40:40,2019-01-28 11:40:41,0.955s,PASSED
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/label_Select_Gender""))",Firefox 64.0,,2019-01-28 11:40:41,2019-01-28 11:40:41,0.476s,PASSED
Thread.sleep(2000),Firefox 64.0,,2019-01-28 11:40:41,2019-01-28 11:40:41,0.005s,NOT_RUN
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/li_Male""))",Firefox 64.0,,2019-01-28 11:40:41,2019-01-28 11:40:42,0.457s,PASSED
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/label_Select_MaritalStatus""))",Firefox 64.0,,2019-01-28 11:40:42,2019-01-28 11:40:42,0.356s,PASSED
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/li_Married""))",Firefox 64.0,,2019-01-28 11:40:42,2019-01-28 11:40:43,0.430s,PASSED
Thread.sleep(2000),Firefox 64.0,,2019-01-28 11:40:43,2019-01-28 11:40:43,0.006s,NOT_RUN
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/label_Select_Race""))",Firefox 64.0,,2019-01-28 11:40:43,2019-01-28 11:40:43,0.454s,PASSED
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/li_WhiteCaucasian""))",Firefox 64.0,,2019-01-28 11:40:43,2019-01-28 11:40:43,0.388s,PASSED
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/label_Select_Hispanic""))",Firefox 64.0,,2019-01-28 11:40:43,2019-01-28 11:40:44,0.330s,PASSED
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/li_No""))",Firefox 64.0,,2019-01-28 11:40:44,2019-01-28 11:40:44,0.300s,PASSED
"setText(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/input__SSN""), ""800-10-0101"")",Firefox 64.0,,2019-01-28 11:40:44,2019-01-28 11:40:44,0.237s,PASSED
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/label_Select_CurrentLivingArrangements""))",Firefox 64.0,,2019-01-28 11:40:44,2019-01-28 11:40:45,0.402s,PASSED
"click(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/li_Community living arrangemen""))",Firefox 64.0,,2019-01-28 11:40:45,2019-01-28 11:40:45,0.291s,PASSED
"setText(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/input__pphoneNumber""), ""(111) 111-1111"")",Firefox 64.0,,2019-01-28 11:40:45,2019-01-28 11:40:45,0.248s,PASSED
"setText(findTestObject(""Submit Application/Page_Online Application for Intelle/4_Page_GeneralInformation/General info Page 1/input__generalStreetPrimary_pr""), ""3 Ravinia Dr, At"")",Firefox 64.0,Enter Street Address,2019-01-28 11:40:45,2019-01-28 11:40:46,0.592s,PASSED
